,sentiment
2013-07-30,
2013-07-31,0.06666666666666667
2013-08-01,0.2984375
2013-08-02,
2013-08-03,0.0
2013-08-04,-0.15
2013-08-05,0.0
2013-08-06,0.35
2013-08-07,0.1125
2013-08-08,0.027991452991452996
2013-08-09,
2013-08-10,
2013-08-11,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-17,
2013-08-18,
2013-08-19,
2013-08-20,0.005726310726310718
2013-08-21,0.030555555555555558
2013-08-22,0.11237947658402204
2013-08-23,0.0
2013-08-24,0.048484848484848485
2013-08-25,0.145
2013-08-26,0.0
2013-08-27,0.0
2013-08-28,0.024621212121212117
2013-08-29,0.10714285714285715
2013-08-30,0.005167378917378917
2013-08-31,0.0029166666666666646
2013-09-01,0.0
2013-09-02,0.15
2013-09-03,
2013-09-04,
2013-09-05,0.019128787878787877
2013-09-06,0.14791666666666667
2013-09-07,-0.02727272727272727
2013-09-08,
2013-09-09,0.0
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,-0.049999999999999996
2013-09-13,0.09172077922077923
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,0.1
2013-09-17,0.08253968253968254
2013-09-18,0.03920454545454546
2013-09-19,-0.024999999999999998
2013-09-20,0.10852272727272727
2013-09-21,0.05735085227272727
2013-09-22,0.022222222222222216
2013-09-23,0.44166666666666665
2013-09-24,-0.03333333333333333
2013-09-25,-0.04374999999999999
2013-09-26,0.15208333333333332
2013-09-27,0.03962037037037037
2013-09-28,-0.075
2013-09-29,0.0
2013-09-30,0.16666666666666669
2013-10-01,0.03194444444444445
2013-10-02,
2013-10-03,-0.175
2013-10-04,0.0
2013-10-05,-0.125
2013-10-06,0.040625
2013-10-07,0.16583333333333333
2013-10-08,0.0574074074074074
2013-10-09,0.31326984126984125
2013-10-10,0.020833333333333332
2013-10-11,0.0
2013-10-12,0.0763888888888889
2013-10-13,-0.0125
2013-10-14,0.0
2013-10-15,-0.15
2013-10-16,0.010321969696969706
2013-10-17,0.15
2013-10-18,-0.04518518518518518
2013-10-19,-0.09421296296296294
2013-10-20,
2013-10-21,0.0
2013-10-22,0.03125
2013-10-23,0.22732142857142854
2013-10-24,0.03846153846153846
2013-10-25,0.052072811447811444
2013-10-26,0.19965986394557822
2013-10-27,0.45
2013-10-28,0.020833333333333332
2013-10-29,0.14886363636363636
2013-10-30,-0.05000000000000001
2013-10-31,0.026785714285714284
2013-11-01,0.08333333333333333
2013-11-02,0.1
2013-11-03,0.0
2013-11-04,0.14444444444444443
2013-11-05,0.05636080633925461
2013-11-06,0.046085858585858584
2013-11-07,-0.05925925925925926
2013-11-08,0.08263888888888889
2013-11-09,0.09444444444444444
2013-11-10,0.025
2013-11-11,0.0625
2013-11-12,0.15
2013-11-13,-0.029629629629629624
2013-11-14,0.022999999999999996
2013-11-15,0.03097853535353536
2013-11-16,-0.041666666666666664
2013-11-17,0.025912698412698425
2013-11-18,0.03666666666666667
2013-11-19,-0.045634920634920646
2013-11-20,0.14507575757575755
2013-11-21,-0.04055059523809523
2013-11-22,-0.010156249999999999
2013-11-23,0.06666666666666667
2013-11-24,0.06499999999999999
2013-11-25,0.01388888888888889
2013-11-26,0.06
2013-11-27,0.00876623376623376
2013-11-28,0.002777777777777768
2013-11-29,
2013-11-30,
2013-12-01,0.34375
2013-12-02,0.07702020202020203
2013-12-03,0.06166666666666667
2013-12-04,0.13825757575757577
2013-12-05,0.1585064935064935
2013-12-06,0.07827380952380952
2013-12-07,-0.03888888888888889
2013-12-08,-0.027777777777777776
2013-12-09,0.0
2013-12-10,0.16666666666666666
2013-12-11,0.019999999999999997
2013-12-12,0.16254960317460318
2013-12-13,0.011904761904761904
2013-12-14,0.06271701388888888
2013-12-15,0.16666666666666666
2013-12-16,0.24444444444444444
2013-12-17,-0.07685185185185185
2013-12-18,-0.04
2013-12-19,-0.078125
2013-12-20,0.028942099567099568
2013-12-21,0.0
2013-12-22,0.0
2013-12-23,0.125
2013-12-24,0.07018518518518518
2013-12-25,
2013-12-26,
2013-12-27,
2013-12-28,-0.15
2013-12-29,-0.07500000000000001
2013-12-30,0.0732142857142857
2013-12-31,0.0
2014-01-01,
2014-01-02,0.16666666666666666
2014-01-03,
2014-01-04,0.021875000000000006
2014-01-05,0.0
2014-01-06,0.0034722222222222285
2014-01-07,
2014-01-08,0.19607142857142856
2014-01-09,0.02733333333333333
2014-01-10,0.052425044091710754
2014-01-11,0.054064542483660126
2014-01-12,0.04
2014-01-13,0.309
2014-01-14,0.13
2014-01-15,0.005208333333333333
2014-01-16,0.10833333333333332
2014-01-17,0.09217171717171717
2014-01-18,0.02
2014-01-19,0.03472222222222223
2014-01-20,0.15436507936507937
2014-01-21,0.08333333333333333
2014-01-22,0.08083333333333334
2014-01-23,0.15694444444444444
2014-01-24,0.4708333333333333
2014-01-25,0.015000000000000003
2014-01-26,0.015277777777777772
2014-01-27,-0.13999999999999999
2014-01-28,0.15046296296296297
2014-01-29,-0.029658564814814815
2014-01-30,-0.008333333333333331
