,year,month,state,sentiment,frequency
511,2014,3,CO,,0.0
512,2014,4,CO,,0.0
513,2014,5,CO,,0.0
514,2014,6,CO,,0.0
515,2014,7,CO,,0.0
516,2014,8,CO,,0.0
517,2014,9,CO,,0.0
518,2014,10,CO,0.3,1.0
519,2014,11,CO,,0.0
520,2014,12,CO,,0.0
521,2015,1,CO,,0.0
522,2015,2,CO,,0.0
523,2015,3,CO,,0.0
524,2015,4,CO,,0.0
525,2015,5,CO,,0.0
526,2015,6,CO,,0.0
527,2015,7,CO,,0.0
528,2015,8,CO,,0.0
529,2015,9,CO,,0.0
530,2015,10,CO,,0.0
531,2015,11,CO,,0.0
532,2015,12,CO,,0.0
533,2016,1,CO,,0.0
534,2016,2,CO,,0.0
535,2016,3,CO,,0.0
536,2016,4,CO,,0.0
537,2016,5,CO,,0.0
538,2016,6,CO,,0.0
539,2016,7,CO,,0.0
540,2016,8,CO,,0.0
541,2016,9,CO,,0.0
542,2016,10,CO,,0.0
543,2016,11,CO,,0.0
544,2016,12,CO,,0.0
545,2017,1,CO,,0.0
546,2017,2,CO,,0.0
547,2017,3,CO,,0.0
548,2017,4,CO,,0.0
549,2017,5,CO,,0.0
550,2017,6,CO,,0.0
551,2017,7,CO,0.05357142857142857,7.0
552,2017,8,CO,0.09166666666666667,6.0
553,2017,9,CO,0.03125,8.0
554,2017,10,CO,0.0,6.0
555,2017,11,CO,0.2257142857142857,7.0
556,2017,12,CO,0.24698412698412694,14.0
557,2018,1,CO,0.19931372549019605,17.0
558,2018,2,CO,0.4416666666666667,4.0
559,2018,3,CO,0.13194444444444445,9.0
560,2018,4,CO,0.15,1.0
561,2018,5,CO,0.029756944444444444,3.0
562,2018,6,CO,0.028571428571428574,7.0
563,2018,7,CO,0.15211805555555555,12.0
564,2018,8,CO,0.10833333333333334,1.0
565,2018,9,CO,0.15574999999999997,5.0
566,2018,10,CO,0.09958333333333334,2.0
567,2018,11,CO,,0.0
568,2018,12,CO,,0.0
569,2019,1,CO,,0.0
570,2019,2,CO,,0.0
571,2019,3,CO,,0.0
572,2019,4,CO,,0.0
573,2019,5,CO,,0.0
574,2019,6,CO,0.0,2.0
575,2019,7,CO,0.15,2.0
576,2019,8,CO,,0.0
577,2019,9,CO,,0.0
578,2019,10,CO,,0.0
579,2019,11,CO,,0.0
580,2019,12,CO,,0.0
581,2020,1,CO,,0.0
582,2012,1,CT,,0.0
583,2012,2,CT,,0.0
584,2012,3,CT,,0.0
585,2012,4,CT,,0.0
586,2012,5,CT,,0.0
587,2012,6,CT,,0.0
588,2012,7,CT,,0.0
589,2012,8,CT,,0.0
590,2012,9,CT,,0.0
591,2012,10,CT,,0.0
592,2012,11,CT,,0.0
593,2012,12,CT,,0.0
594,2013,1,CT,,0.0
595,2013,2,CT,,0.0
596,2013,3,CT,,0.0
597,2013,4,CT,,0.0
598,2013,5,CT,,0.0
599,2013,6,CT,,0.0
600,2013,7,CT,,0.0
601,2013,8,CT,,0.0
602,2013,9,CT,,0.0
603,2013,10,CT,,0.0
604,2013,11,CT,,0.0
605,2013,12,CT,,0.0
606,2014,1,CT,,0.0
607,2014,2,CT,,0.0
608,2014,3,CT,,0.0
609,2014,4,CT,,0.0
610,2014,5,CT,,0.0
611,2014,6,CT,,0.0
612,2014,7,CT,,0.0
613,2014,8,CT,,0.0
614,2014,9,CT,,0.0
615,2014,10,CT,,0.0
616,2014,11,CT,,0.0
617,2014,12,CT,,0.0
618,2015,1,CT,,0.0
619,2015,2,CT,,0.0
620,2015,3,CT,,0.0
621,2015,4,CT,,0.0
622,2015,5,CT,,0.0
623,2015,6,CT,,0.0
624,2015,7,CT,,0.0
625,2015,8,CT,,0.0
626,2015,9,CT,,0.0
627,2015,10,CT,,0.0
628,2015,11,CT,,0.0
629,2015,12,CT,,0.0
630,2016,1,CT,0.075,1.0
631,2016,2,CT,,0.0
632,2016,3,CT,,0.0
